UNIX time 	 watts
1335170630 	00163
1335170636 	00166
1335170642 	00160
1335170648 	00159
1335170654 	00164
1335170660 	00159
1335170666 	00159
1335170672 	00159
1335170678 	00163
1335170684 	00163
1335170691 	00159
1335170703 	00159
1335170709 	00161
1335170715 	00159
1335170721 	00159
1335170727 	00159
1335170733 	00174
1335170739 	00162
1335170745 	00159
1335170751 	00159
1335170757 	00159
1335170763 	00159
1335170769 	00159
1335170775 	00161
1335170781 	00159
1335170787 	00159
1335170793 	00159
1335170806 	00159
1335170812 	00163
1335170818 	00165
1335170824 	00163
1335170836 	00161
1335170842 	00159
1335170848 	00159
1335170854 	00177
1335170860 	00129
1335170866 	00129
1335170872 	00129
1335170878 	00129
1335170884 	00129
1335170890 	00129
1335170896 	00128
1335170909 	00129
1335170915 	00128
1335170921 	00129
1335170927 	00129
1335170933 	00129
1335170939 	00129
1335170945 	00128
1335170951 	00129
1335170957 	00129
1335170963 	00130
1335170969 	00129
1335170975 	00128
1335170981 	00130
1335170987 	00129
1335170993 	00128
1335170999 	00129
1335171005 	00129
1335171012 	00129
1335171018 	00129
1335171024 	00129
1335171030 	00129
1335171036 	00129
1335171042 	00129
1335171048 	00129
1335171054 	00128
1335171066 	00129
1335171072 	00128
1335171078 	00129
1335171084 	00129
1335171090 	00129
1335171096 	00128
1335171102 	00129
1335171108 	00129
1335171121 	00129
1335171127 	00129
1335171133 	00128
1335171139 	00128
1335171145 	00129
1335171151 	00128
1335171157 	00129
1335171163 	00128
1335171169 	00129
1335171175 	00129
1335171181 	00129
1335171187 	00129
1335171193 	00128
1335171199 	00129
1335171205 	00129
1335171211 	00128
1335171224 	00128
1335171230 	00129
1335171236 	00129
1335171242 	00129
1335171248 	00128
1335171254 	00128
1335171260 	00129
1335171266 	00129
1335171278 	00129
1335171284 	00128
1335171290 	00129
1335171296 	00129
1335171302 	00135
1335171308 	00129
1335171314 	00129
1335171320 	00129
1335171327 	00128
1335171333 	00128
1335171339 	00128
1335171345 	00129
1335171351 	00128
1335171357 	00129
1335171363 	00129
1335171369 	00129
1335171375 	00129
1335171381 	00130
1335171387 	00129
1335171393 	00129
1335171399 	00129
1335171405 	00128
1335171411 	00128
1335171417 	00129
1335171423 	00129
1335171436 	00129
1335171442 	00129
1335171448 	00130
1335171454 	00129
1335171460 	00129
1335171466 	00129
1335171472 	00129
1335171478 	00129
1335171490 	00130
1335171496 	00129
1335171502 	00129
1335171508 	00130
1335171514 	00129
1335171520 	00129
1335171526 	00129
1335171538 	00129
1335171545 	00129
1335171551 	00129
1335171557 	00129
1335171563 	00129
1335171569 	00129
1335171575 	00128
1335171581 	00131
1335171587 	00128
1335171593 	00101
1335171599 	00103
1335171605 	00101
1335171611 	00104
1335171617 	00102
1335171623 	00103
1335171629 	00102
1335171635 	00101
1335171648 	00101
1335171654 	00102
1335171660 	00101
1335171666 	00102
1335171672 	00102
1335171678 	00101
1335171684 	00102
1335171690 	00102
1335171696 	00101
1335171702 	00102
1335171708 	00102
1335171714 	00102
1335171720 	00102
1335171726 	00101
1335171732 	00102
1335171738 	00101
1335171751 	00102
1335171757 	00101
1335171763 	00102
