UNIX time 	 sensor 	 watts
1340211322 	3 	00020
1340211325 	0 	00348
1340211326 	2 	00086
1340211327 	1 	00000
1340211328 	3 	00020
1340211333 	2 	00086
1340211333 	1 	00000
1340211334 	3 	00020
1340211337 	0 	00355
1340211339 	1 	00000
1340211340 	3 	00038
1340211344 	0 	00361
1340211345 	2 	00085
1340211345 	1 	00000
1340211346 	3 	00029
1340211350 	0 	00353
1340211351 	2 	00085
1340211351 	1 	00000
1340211352 	3 	00022
1340211356 	0 	00347
1340211357 	2 	00085
1340211357 	1 	00000
1340211359 	3 	00022
1340211362 	0 	00357
1340211363 	2 	00085
1340211363 	1 	00000
1340211365 	3 	00027
1340211368 	0 	00347
1340211369 	2 	00085
1340211370 	1 	00000
1340211371 	3 	00024
1340211374 	0 	00347
1340211375 	2 	00085
1340211377 	3 	00021
1340211381 	0 	00349
1340211382 	2 	00085
1340211382 	1 	00000
1340211383 	3 	00019
1340211387 	0 	00346
1340211388 	2 	00084
1340211388 	1 	00000
1340211393 	0 	00347
1340211394 	2 	00085
1340211394 	1 	00000
1340211395 	3 	00032
1340211399 	0 	00355
1340211400 	2 	00085
1340211400 	1 	00000
1340211401 	3 	00020
1340211405 	0 	00351
1340211406 	2 	00084
1340211406 	1 	00000
1340211408 	3 	00020
1340211412 	0 	00349
1340211412 	2 	00085
1340211412 	1 	00000
1340211414 	3 	00020
1340211418 	0 	00346
1340211418 	2 	00084
1340211418 	1 	00000
1340211420 	3 	00019
1340211424 	0 	00347
1340211424 	2 	00084
1340211425 	1 	00000
1340211426 	3 	00019
1340211431 	2 	00084
1340211436 	0 	00347
1340211437 	2 	00084
1340211437 	1 	00000
1340211438 	3 	00020
1340211442 	0 	00346
1340211443 	2 	00084
1340211443 	1 	00000
1340211444 	3 	00019
1340211449 	0 	00345
1340211449 	1 	00000
1340211450 	3 	00019
1340211455 	0 	00346
1340211455 	2 	00083
1340211455 	1 	00000
1340211456 	3 	00019
1340211461 	0 	00346
1340211461 	1 	00000
1340211463 	3 	00020
1340211475 	3 	00018
1340211480 	1 	00000
1340211481 	3 	00019
1340211486 	0 	00347
1340211487 	3 	00019
1340211492 	1 	00000
1340211492 	0 	00352
1340211498 	1 	00000
1340211498 	0 	00346
1340211499 	3 	00019
1340211504 	1 	00000
1340211504 	0 	00345
1340211505 	3 	00020
1340211510 	1 	00000
1340211511 	0 	00347
1340211511 	3 	00019
1340211516 	1 	00000
1340211516 	2 	00083
1340211517 	0 	00353
1340211518 	3 	00020
1340211522 	1 	00000
1340211522 	2 	00083
1340211523 	0 	00348
1340211524 	3 	00019
1340211528 	1 	00000
1340211528 	2 	00082
1340211529 	0 	00347
1340211530 	3 	00019
