UNIXtime	sensor	watts
1340742840 	2 	00000
1340742841 	1 	00000
1340742842 	0 	00436
1340742846 	2 	00000
1340742846 	1 	00000
1340742848 	3 	00018
1340742849 	0 	00251
1340742852 	2 	00000
1340742853 	1 	00000
1340742854 	3 	00018
1340742854 	0 	00476
1340742859 	1 	00000
1340742860 	3 	00018
1340742860 	0 	00250
1340742865 	2 	00001
1340742865 	1 	00000
1340742868 	3 	00017
1340742871 	2 	00000
1340742871 	1 	00000
1340742872 	3 	00017
1340742873 	0 	00251
1340742877 	2 	00001
1340742877 	1 	00000
1340742879 	3 	00017
1340742883 	2 	00000
1340742883 	1 	00000
1340742885 	0 	00252
1340742889 	2 	00000
1340742892 	1 	00000
1340742895 	2 	00001
1340742895 	1 	00000
1340742897 	3 	00017
1340742898 	0 	00273
1340742901 	2 	00000
1340742904 	0 	00597
1340742907 	2 	00001
1340742908 	1 	00000
1340742910 	0 	00411
1340742914 	2 	00000
1340742916 	1 	00000
1340742920 	2 	00001
1340742920 	1 	00000
1340742922 	0 	00411
1340742926 	2 	00000
1340742926 	1 	00000
1340742927 	3 	00017
1340742928 	0 	00581
1340742932 	2 	00001
1340742932 	1 	00000
1340742935 	3 	00017
1340742938 	2 	00001
1340742938 	1 	00000
1340742940 	3 	00018
1340742940 	0 	00277
1340742944 	2 	00000
1340742944 	1 	00000
1340742946 	3 	00017
1340742947 	0 	00512
1340742950 	2 	00001
1340742950 	1 	00000
1340742952 	3 	00018
1340742955 	0 	00244
1340742956 	2 	00000
1340742957 	1 	00000
1340742958 	3 	00017
1340742963 	1 	00000
1340742964 	3 	00018
1340742965 	0 	00243
1340742971 	0 	00584
1340742976 	3 	00022
1340742977 	0 	00244
1340742983 	3 	00017
1340742983 	0 	00626
1340742987 	1 	00000
1340742989 	3 	00018
1340742989 	0 	00242
1340742993 	1 	00000
1340742995 	3 	00018
1340742995 	0 	00635
1340742999 	1 	00000
1340743001 	3 	00017
1340743003 	0 	00244
1340743005 	1 	00000
1340743007 	3 	00017
1340743008 	0 	00653
1340743012 	1 	00000
1340743013 	3 	00019
1340743018 	1 	00000
1340743018 	2 	00001
1340743019 	3 	00017
1340743020 	0 	00650
1340743024 	1 	00000
1340743026 	2 	00000
1340743030 	1 	00000
1340743030 	2 	00001
1340743032 	0 	00241
1340743036 	1 	00000
1340743036 	2 	00000
1340743038 	3 	00017
1340743038 	0 	00666
1340743042 	1 	00000
1340743042 	2 	00000
1340743045 	3 	00018
1340743048 	1 	00000
1340743048 	2 	00000
1340743050 	3 	00017
1340743050 	0 	00782
1340743054 	1 	00000
1340743054 	2 	00000
1340743057 	0 	00711
1340743060 	1 	00000
1340743061 	2 	00000
1340743062 	3 	00017
1340743063 	0 	00636
1340743067 	1 	00000
1340743069 	2 	00001
1340743073 	1 	00000
1340743073 	2 	00001
1340743074 	3 	00018
1340743075 	0 	00487
1340743079 	1 	00000
1340743079 	2 	00001
1340743080 	3 	00019
1340743085 	1 	00000
1340743085 	2 	00001
1340743088 	3 	00021
1340743091 	1 	00000
1340743091 	2 	00001
1340743093 	3 	00018
1340743093 	0 	00359
1340743097 	1 	00000
1340743097 	2 	00001
1340743099 	3 	00017
1340743099 	0 	00338
1340743103 	1 	00000
1340743103 	2 	00000
1340743105 	3 	00018
1340743108 	0 	00551
1340743109 	1 	00000
1340743110 	2 	00000
1340743111 	3 	00018
1340743112 	0 	00412
1340743116 	2 	00001
1340743117 	3 	00017
1340743118 	0 	00246
1340743122 	1 	00000
1340743122 	2 	00001
1340743123 	3 	00018
1340743124 	0 	00250
1340743128 	1 	00000
1340743128 	2 	00000
1340743129 	3 	00018
1340743130 	0 	00337
1340743134 	1 	00000
1340743134 	2 	00001
1340743136 	3 	00018
1340743136 	0 	00336
1340743140 	1 	00000
1340743140 	2 	00001
1340743142 	3 	00019
1340743142 	0 	00340
1340743146 	1 	00000
1340743149 	2 	00000
1340743152 	1 	00000
1340743152 	2 	00001
1340743154 	3 	00018
1340743154 	0 	00243
1340743158 	1 	00000
1340743159 	2 	00001
1340743160 	3 	00018
1340743161 	0 	00278
1340743164 	1 	00000
1340743165 	2 	00000
1340743168 	3 	00017
1340743171 	1 	00000
1340743171 	2 	00001
1340743172 	3 	00018
1340743177 	1 	00000
1340743177 	2 	00000
1340743178 	3 	00017
1340743179 	0 	00243
1340743183 	1 	00000
1340743183 	2 	00000
1340743189 	1 	00000
1340743191 	2 	00000
1340743192 	0 	00242
1340743195 	2 	00000
1340743197 	3 	00022
1340743201 	1 	00000
1340743201 	2 	00001
1340743203 	3 	00018
1340743204 	0 	00257
1340743207 	1 	00000
1340743208 	2 	00001
1340743210 	3 	00018
1340743213 	1 	00000
1340743214 	2 	00001
1340743215 	3 	00017
1340743216 	0 	00308
1340743219 	1 	00000
1340743220 	2 	00000
1340743221 	3 	00017
1340743226 	1 	00000
1340743226 	2 	00000
1340743227 	3 	00018
1340743230 	0 	00379
1340743232 	1 	00000
1340743232 	2 	00001
1340743233 	3 	00018
1340743235 	0 	00244
1340743238 	1 	00000
1340743238 	2 	00000
1340743240 	3 	00018
1340743241 	0 	00331
1340743244 	1 	00000
1340743244 	2 	00001
1340743246 	3 	00017
1340743247 	0 	00243
1340743250 	1 	00000
1340743250 	2 	00001
1340743252 	3 	00017
1340743256 	1 	00000
1340743257 	2 	00001
1340743258 	3 	00017
1340743260 	0 	00342
1340743262 	1 	00000
1340743263 	2 	00001
1340743264 	3 	00017
1340743266 	0 	00369
1340743268 	1 	00000
1340743276 	2 	00000
1340743276 	3 	00016
1340743278 	0 	00420
1340743281 	1 	00000
1340743281 	2 	00001
1340743282 	3 	00017
1340743287 	1 	00000
1340743287 	2 	00000
1340743289 	3 	00018
1340743290 	0 	00602
1340743293 	1 	00000
1340743293 	2 	00000
1340743296 	3 	00018
1340743299 	1 	00000
1340743299 	2 	00001
1340743301 	3 	00017
1340743302 	0 	00524
1340743305 	1 	00000
1340743306 	2 	00000
1340743307 	3 	00018
1340743311 	1 	00000
1340743312 	2 	00001
1340743314 	0 	00519
1340743317 	1 	00000
1340743320 	2 	00000
1340743320 	0 	00524
1340743323 	1 	00000
1340743324 	2 	00000
1340743325 	3 	00017
1340743327 	0 	00517
1340743330 	2 	00000
1340743331 	3 	00017
1340743333 	0 	00525
1340743336 	1 	00000
1340743336 	2 	00000
1340743339 	0 	00516
1340743342 	1 	00000
1340743342 	2 	00001
1340743344 	3 	00017
1340743345 	0 	00529
1340743348 	1 	00000
1340743348 	2 	00001
1340743350 	3 	00022
1340743351 	0 	00526
1340743354 	1 	00000
1340743355 	2 	00000
1340743356 	3 	00022
1340743358 	0 	00544
1340743360 	1 	00000
1340743361 	2 	00000
1340743362 	3 	00019
1340743364 	0 	00527
1340743366 	1 	00000
1340743367 	2 	00000
1340743368 	3 	00019
1340743370 	0 	00526
1340743372 	1 	00000
1340743373 	2 	00000
1340743374 	3 	00019
1340743376 	0 	00527
1340743378 	1 	00000
1340743381 	2 	00000
1340743382 	0 	00533
1340743385 	1 	00000
1340743385 	2 	00001
1340743386 	3 	00017
1340743388 	0 	00526
1340743391 	1 	00000
1340743391 	2 	00000
1340743397 	1 	00000
1340743397 	2 	00001
1340743400 	3 	00021
1340743401 	0 	00528
1340743403 	1 	00000
1340743404 	2 	00000
1340743407 	0 	00525
1340743410 	2 	00000
1340743411 	3 	00017
1340743415 	1 	00000
1340743416 	2 	00001
1340743417 	3 	00017
1340743421 	1 	00000
1340743422 	2 	00001
1340743426 	3 	00020
1340743427 	1 	00000
1340743428 	2 	00001
1340743429 	3 	00019
1340743432 	0 	00527
1340743433 	1 	00000
1340743434 	2 	00000
1340743435 	3 	00019
1340743438 	0 	00526
1340743440 	1 	00000
1340743440 	2 	00001
1340743444 	0 	00532
1340743446 	1 	00000
1340743448 	2 	00000
1340743450 	0 	00534
1340743452 	1 	00000
1340743453 	2 	00000
1340743454 	3 	00021
1340743456 	0 	00525
1340743458 	1 	00000
1340743459 	2 	00000
1340743460 	3 	00017
1340743462 	0 	00525
1340743464 	1 	00000
1340743465 	2 	00000
1340743468 	0 	00528
1340743470 	1 	00000
1340743471 	2 	00000
1340743472 	3 	00017
1340743474 	0 	00302
1340743476 	1 	00000
1340743477 	2 	00001
1340743478 	3 	00017
1340743480 	0 	00284
1340743482 	1 	00000
1340743483 	2 	00000
1340743484 	3 	00017
1340743487 	0 	00393
1340743497 	2 	00001
1340743499 	0 	00395
1340743501 	1 	00000
1340743502 	2 	00001
1340743503 	3 	00019
1340743505 	0 	00397
1340743507 	1 	00000
1340743508 	2 	00000
1340743509 	3 	00018
1340743511 	0 	00397
1340743513 	1 	00000
1340743514 	2 	00001
1340743518 	0 	00397
1340743519 	1 	00000
1340743521 	3 	00022
1340743524 	0 	00424
1340743525 	1 	00000
1340743526 	2 	00000
1340743527 	3 	00020
1340743530 	0 	00436
1340743531 	1 	00000
1340743532 	2 	00000
1340743533 	3 	00029
1340743536 	0 	00411
1340743538 	1 	00000
1340743539 	3 	00020
1340743542 	0 	00411
1340743543 	1 	00000
1340743544 	2 	00001
1340743545 	3 	00017
1340743548 	0 	00413
1340743550 	1 	00000
1340743551 	2 	00000
1340743552 	3 	00017
1340743556 	1 	00000
1340743558 	2 	00000
1340743562 	1 	00000
1340743563 	2 	00000
1340743564 	3 	00018
1340743566 	0 	00567
1340743568 	1 	00000
1340743569 	2 	00001
1340743570 	3 	00018
1340743573 	0 	00605
1340743574 	1 	00000
1340743575 	2 	00001
1340743578 	3 	00018
1340743579 	0 	00512
1340743580 	1 	00000
1340743581 	2 	00000
1340743582 	3 	00017
1340743585 	0 	00517
1340743586 	1 	00000
1340743587 	2 	00000
1340743588 	3 	00018
1340743591 	0 	00523
1340743592 	1 	00000
1340743593 	2 	00000
1340743597 	0 	00522
1340743600 	1 	00000
1340743601 	3 	00018
1340743603 	0 	00527
1340743605 	1 	00000
1340743606 	2 	00000
1340743607 	3 	00027
1340743609 	0 	00560
1340743611 	1 	00000
1340743612 	2 	00001
1340743613 	3 	00017
1340743615 	0 	00688
1340743617 	1 	00000
1340743620 	2 	00000
1340743622 	0 	00721
1340743624 	2 	00000
1340743625 	3 	00019
1340743628 	0 	00684
1340743629 	1 	00000
1340743630 	2 	00000
1340743631 	3 	00016
1340743634 	0 	00679
1340743635 	1 	00000
1340743636 	2 	00000
1340743639 	3 	00018
1340743640 	0 	00673
1340743641 	1 	00000
1340743642 	2 	00001
1340743643 	3 	00025
1340743646 	0 	00671
1340743647 	1 	00000
1340743650 	3 	00020
1340743653 	0 	00670
1340743654 	1 	00000
1340743655 	2 	00000
1340743656 	3 	00024
1340743659 	0 	00674
1340743660 	1 	00000
1340743661 	2 	00001
1340743662 	3 	00022
1340743666 	1 	00000
1340743667 	2 	00001
1340743668 	3 	00018
1340743671 	0 	00665
1340743672 	1 	00000
1340743673 	2 	00000
1340743674 	3 	00017
1340743677 	0 	00670
1340743678 	1 	00000
1340743681 	2 	00000
1340743683 	0 	00668
1340743684 	1 	00000
1340743685 	2 	00000
1340743686 	3 	00018
1340743690 	1 	00000
1340743691 	2 	00000
1340743692 	3 	00017
1340743696 	1 	00000
1340743698 	2 	00001
1340743700 	3 	00017
1340743702 	0 	00664
1340743704 	2 	00001
1340743705 	3 	00017
1340743708 	0 	00665
1340743709 	1 	00000
1340743710 	2 	00000
1340743711 	3 	00019
1340743714 	0 	00676
1340743715 	1 	00000
1340743716 	2 	00001
1340743717 	3 	00017
1340743720 	0 	00664
1340743721 	1 	00000
1340743722 	2 	00000
1340743727 	0 	00666
1340743727 	1 	00000
1340743728 	2 	00000
1340743729 	3 	00018
1340743733 	0 	00662
1340743733 	1 	00000
1340743734 	2 	00000
1340743735 	3 	00017
1340743739 	0 	00653
1340743742 	1 	00000
1340743745 	0 	00659
1340743745 	1 	00000
1340743747 	2 	00001
1340743747 	3 	00023
1340743753 	2 	00000
1340743754 	3 	00020
1340743757 	1 	00000
1340743759 	2 	00000
1340743760 	3 	00019
1340743764 	1 	00000
1340743766 	0 	00250
1340743770 	1 	00000
1340743770 	0 	00256
1340743771 	2 	00000
1340743772 	3 	00023
1340743776 	1 	00000
1340743776 	0 	00245
1340743777 	2 	00000
1340743778 	3 	00017
1340743783 	2 	00001
1340743784 	3 	00021
1340743788 	1 	00000
1340743788 	0 	00346
1340743791 	2 	00000
1340743794 	1 	00000
1340743796 	2 	00001
1340743796 	3 	00022
1340743800 	1 	00000
1340743801 	0 	00326
1340743802 	2 	00000
1340743806 	1 	00000
1340743807 	0 	00244
1340743808 	2 	00000
1340743811 	3 	00019
1340743813 	1 	00000
1340743814 	2 	00001
1340743815 	3 	00018
1340743819 	0 	00242
1340743819 	1 	00000
1340743820 	2 	00000
1340743821 	3 	00017
1340743824 	0 	00332
1340743825 	1 	00000
1340743826 	2 	00000
1340743827 	3 	00033
1340743831 	1 	00000
1340743832 	2 	00000
1340743833 	3 	00018
1340743837 	0 	00326
1340743837 	1 	00000
1340743838 	2 	00000
1340743839 	3 	00019
1340743843 	1 	00000
1340743845 	2 	00001
1340743849 	1 	00000
1340743852 	2 	00000
1340743855 	0 	00244
1340743855 	1 	00000
1340743857 	2 	00001
1340743858 	3 	00018
1340743861 	0 	00313
1340743861 	1 	00000
1340743863 	2 	00000
1340743864 	3 	00017
1340743867 	0 	00244
1340743868 	1 	00000
1340743869 	2 	00001
1340743877 	3 	00017
1340743879 	0 	00278
1340743880 	1 	00000
1340743881 	2 	00000
1340743882 	3 	00018
1340743886 	1 	00000
1340743887 	2 	00000
1340743888 	3 	00017
1340743891 	0 	00276
1340743892 	1 	00000
1340743894 	2 	00001
1340743894 	3 	00019
1340743897 	0 	00276
1340743898 	1 	00000
1340743900 	2 	00000
1340743900 	3 	00017
1340743903 	0 	00277
1340743904 	1 	00000
1340743906 	2 	00000
1340743906 	3 	00017
1340743909 	0 	00276
1340743910 	1 	00000
1340743912 	2 	00001
1340743913 	3 	00017
1340743916 	0 	00277
1340743918 	2 	00000
1340743919 	3 	00019
1340743922 	0 	00275
1340743923 	1 	00000
1340743924 	2 	00000
1340743925 	3 	00017
1340743928 	0 	00276
1340743929 	1 	00000
1340743930 	2 	00000
1340743934 	0 	00279
1340743935 	1 	00000
1340743936 	2 	00000
1340743939 	3 	00022
1340743940 	0 	00281
1340743941 	1 	00000
1340743943 	2 	00000
1340743946 	0 	00179
1340743947 	1 	00000
1340743949 	2 	00001
1340743952 	0 	00185
1340743953 	1 	00000
1340743955 	2 	00000
1340743959 	0 	00194
1340743961 	1 	00000
1340743965 	0 	00194
1340743965 	1 	00000
1340743971 	1 	00000
1340743973 	2 	00017
1340743977 	0 	00340
1340743978 	1 	00000
1340743979 	2 	00017
1340743983 	0 	00377
1340743984 	1 	00000
1340743985 	2 	00005
1340743989 	0 	00355
1340743990 	1 	00000
1340743992 	2 	00001
1340743995 	0 	00374
1340743998 	2 	00001
1340744001 	0 	00382
1340744002 	1 	00000
1340744004 	2 	00000
1340744007 	0 	00377
1340744008 	1 	00000
1340744010 	2 	00000
1340744013 	0 	00371
1340744014 	1 	00000
1340744016 	2 	00000
1340744019 	0 	00381
1340744021 	1 	00000
1340744022 	2 	00001
1340744025 	0 	00351
1340744026 	1 	00000
1340744028 	2 	00000
1340744033 	1 	00000
1340744034 	2 	00000
1340744037 	0 	00378
1340744039 	1 	00000
1340744041 	2 	00000
1340744045 	1 	00000
1340744047 	2 	00000
1340744049 	0 	00358
1340744051 	1 	00000
1340744053 	2 	00001
1340744057 	1 	00000
1340744059 	2 	00001
1340744061 	0 	00363
1340744063 	1 	00000
1340744065 	2 	00000
1340744067 	0 	00349
1340744069 	1 	00000
1340744071 	2 	00000
1340744073 	0 	00346
1340744077 	2 	00001
1340744081 	1 	00000
1340744083 	2 	00000
1340744090 	0 	00340
1340744091 	0 	00351
1340744094 	1 	00000
1340744096 	2 	00001
1340744098 	0 	00371
1340744100 	1 	00000
1340744102 	2 	00001
1340744104 	0 	00322
1340744106 	1 	00000
1340744108 	2 	00000
1340744110 	0 	00306
1340744112 	1 	00000
1340744114 	2 	00001
1340744116 	0 	00287
1340744118 	1 	00000
1340744120 	2 	00000
1340744123 	0 	00313
1340744124 	1 	00000
1340744126 	2 	00000
1340744129 	0 	00300
1340744130 	1 	00000
1340744132 	2 	00000
1340744135 	0 	00299
1340744137 	1 	00000
1340744138 	2 	00000
1340744141 	0 	00302
1340744143 	1 	00000
1340744145 	2 	00000
1340744147 	0 	00333
1340744149 	1 	00000
1340744151 	2 	00000
1340744155 	1 	00000
1340744157 	2 	00000
1340744159 	0 	00295
1340744161 	1 	00000
1340744163 	2 	00000
1340744165 	0 	00327
1340744167 	1 	00000
1340744169 	2 	00001
1340744171 	0 	00352
1340744173 	1 	00000
1340744175 	2 	00000
1340744178 	0 	00303
1340744179 	1 	00000
1340744181 	2 	00001
1340744184 	0 	00315
1340744185 	1 	00000
1340744187 	2 	00000
1340744190 	0 	00324
1340744192 	1 	00000
1340744194 	2 	00001
1340744196 	0 	00318
1340744198 	1 	00000
1340744200 	2 	00000
1340744203 	0 	00322
1340744204 	1 	00000
1340744206 	2 	00000
1340744212 	2 	00001
1340744214 	0 	00341
1340744216 	1 	00000
1340744218 	2 	00000
1340744220 	0 	00331
1340744222 	1 	00000
1340744224 	2 	00000
1340744226 	0 	00310
1340744228 	1 	00000
1340744230 	2 	00000
1340744233 	0 	00296
1340744236 	1 	00000
1340744236 	2 	00000
1340744239 	0 	00320
1340744240 	1 	00000
1340744243 	2 	00000
1340744245 	0 	00322
1340744247 	1 	00000
1340744249 	2 	00001
1340744251 	0 	00310
1340744253 	1 	00000
1340744255 	2 	00000
1340744257 	0 	00319
1340744259 	1 	00000
1340744261 	2 	00001
1340744265 	1 	00000
1340744267 	2 	00001
1340744271 	1 	00000
1340744273 	2 	00000
1340744276 	0 	00178
1340744277 	1 	00000
1340744279 	2 	00001
1340744282 	0 	00161
1340744283 	1 	00000
1340744285 	2 	00000
1340744288 	0 	00161
1340744292 	2 	00000
1340744295 	1 	00000
1340744298 	2 	00000
1340744305 	0 	00162
1340744306 	0 	00161
1340744308 	1 	00000
1340744310 	2 	00000
1340744312 	0 	00162
1340744314 	1 	00000
1340744316 	2 	00000
1340744318 	0 	00161
1340744321 	1 	00000
1340744322 	2 	00000
1340744324 	0 	00163
1340744326 	1 	00000
1340744328 	2 	00001
1340744331 	0 	00161
1340744334 	2 	00001
1340744337 	0 	00162
1340744338 	1 	00000
1340744341 	2 	00000
1340744343 	0 	00161
1340744344 	1 	00000
1340744347 	2 	00001
1340744349 	0 	00162
1340744351 	1 	00000
1340744353 	2 	00000
1340744355 	0 	00161
1340744357 	1 	00000
1340744359 	2 	00000
1340744361 	0 	00162
1340744363 	1 	00000
1340744365 	2 	00000
1340744367 	0 	00162
1340744369 	1 	00000
1340744371 	2 	00001
1340744373 	0 	00161
1340744375 	1 	00000
1340744380 	0 	00161
1340744381 	1 	00000
1340744388 	2 	00000
1340744390 	2 	00001
1340744392 	0 	00161
1340744393 	1 	00000
1340744396 	2 	00001
1340744398 	0 	00161
1340744399 	1 	00000
1340744402 	2 	00000
1340744406 	1 	00000
1340744408 	2 	00001
1340744410 	0 	00160
1340744412 	1 	00000
1340744414 	2 	00000
1340744416 	0 	00162
1340744418 	1 	00000
1340744420 	2 	00000
1340744422 	0 	00162
1340744426 	2 	00000
1340744430 	1 	00000
1340744432 	2 	00000
1340744435 	0 	00163
1340744436 	1 	00000
1340744439 	2 	00000
1340744441 	0 	00161
1340744442 	1 	00000
1340744445 	2 	00001
1340744447 	0 	00161
1340744448 	1 	00000
1340744461 	2 	00001
1340744463 	2 	00001
1340744465 	0 	00162
1340744467 	1 	00000
1340744469 	2 	00000
1340744471 	0 	00162
1340744473 	1 	00000
1340744475 	2 	00000
1340744477 	0 	00161
1340744479 	1 	00000
1340744481 	2 	00000
1340744483 	0 	00161
1340744485 	1 	00000
1340744488 	2 	00001
1340744491 	1 	00000
1340744494 	2 	00001
1340744495 	0 	00162
1340744497 	1 	00000
1340744500 	2 	00001
1340744502 	0 	00162
1340744506 	2 	00000
1340744508 	0 	00163
1340744509 	1 	00000
1340744512 	2 	00001
1340744514 	0 	00163
1340744516 	1 	00000
1340744518 	2 	00000
1340744522 	1 	00000
1340744524 	2 	00001
1340744526 	0 	00164
1340744528 	1 	00000
1340744530 	2 	00000
1340744532 	0 	00163
1340744534 	1 	00000
1340744537 	2 	00001
1340744538 	0 	00162
1340744540 	1 	00000
1340744543 	2 	00000
1340744545 	0 	00162
1340744546 	1 	00000
1340744549 	2 	00001
1340744551 	0 	00162
1340744552 	1 	00000
1340744555 	2 	00000
1340744557 	0 	00163
1340744558 	1 	00000
1340744561 	2 	00000
1340744563 	0 	00164
1340744564 	1 	00000
1340744567 	2 	00000
