"Watts"	"Volts"	"Amps"	"Pwr Fct"
17.1	237.6	0.16	38
17	237.5	0.16	38
17	237.8	0.16	38
16.9	237.9	0.159	38
17	237.7	0.159	37
17	237.8	0.158	38
16.8	237.8	0.159	38
16.8	237.9	0.165	38
16.8	237.9	0.158	38
16.8	237.9	0.156	37
16.7	237.6	0.156	38
16.6	237.6	0.155	38
16.5	237.6	0.154	38
16.3	237.7	0.155	38
16.4	237.5	0.155	36
16.3	237.5	0.155	38
16.3	237.4	0.157	38
16.3	237.5	0.163	37
16.4	237.6	0.16	37
16.6	237.7	0.157	36
16.6	238	0.164	38
16.7	238	0.161	37
16.7	238.2	0.159	37
16.7	238.3	0.157	37
16.9	238.4	0.158	37
16.9	238.5	0.156	38
16.8	238.4	0.162	38
16.8	238.3	0.163	38
16.8	238.3	0.167	37
17	238.2	0.157	37
16.9	238	0.158	38
16.8	238.1	0.159	38
16.7	238.1	0.156	37
16.7	238.1	0.161	37
16.8	238.3	0.158	37
16.7	238.2	0.158	38
16.7	238.1	0.159	37
16.7	238.1	0.19	38
16.9	238.3	0.162	36
17	238	0.16	37
17	237.9	0.169	38
17.3	237.9	0.282	37
28.2	237.8	0.162	47
18.7	237.9	0.167	41
18.8	237.9	0.163	39
18.7	237.2	0.167	41
18.6	237	0.159	40
18.3	237	0.156	41
18.1	236.9	0.156	41
17.9	236.9	0.158	40
18.2	237.1	0.228	39
30.4	237.1	0.176	48
20.8	237.1	0.182	42
20.6	237.1	0.186	43
21.2	237.3	0.176	39
21.3	237.4	0.241	42
29.7	237.5	0.188	48
21.9	237.6	0.195	43
22.2	237.5	0.191	41
22.6	237.4	0.165	42
22.8	237.3	0.286	43
38.2	237.3	0.179	53
25	237.4	0.197	43
13.1	239.4	0.136	33
13.2	239.3	0.136	34
13.2	239.3	0.136	34
13.1	239.1	0.136	33
13.1	239	0.136	33
13.2	238.9	0.136	34
13.1	239.1	0.135	34
13.1	239.1	0.136	33
13.1	238.9	0.135	33
13.1	239.2	0.135	34
13.2	238.9	0.136	34
13.1	238.9	0.135	34
13.1	238.9	0.135	33
13.1	239.2	0.135	34
13.1	239.1	0.136	33
13.2	239.1	0.135	34
13.1	239.2	0.136	33
13.1	239.1	0.136	33
13.1	239.1	0.135	33
13.1	238.7	0.135	34
13.1	239	0.135	33
13.1	239.1	0.135	33
13.1	238.8	0.136	33
13.1	238.7	0.136	33
13.1	238.4	0.135	34
13.1	238.5	0.135	34
13.1	238.9	0.135	34
13.1	239	0.136	33
13.1	239.1	0.136	34
13.1	239.1	0.136	33
13.1	239.2	0.136	34
13.1	239	0.135	33
13.1	239.2	0.136	34
13.1	239.5	0.136	33
13.1	239.3	0.136	33
13.1	239.2	0.136	33
13.2	239.2	0.136	34
13.1	239.3	0.136	33
13.1	239.1	0.136	33
13.1	239	0.135	33
13.1	239.4	0.136	33
13.1	239.4	0.136	33
13.1	239.2	0.136	33
13.2	239.3	0.136	34
13.2	239.4	0.136	34
13.1	239.3	0.136	33
13.1	239.1	0.136	33
13.1	239.3	0.136	33
13.1	239.2	0.136	33
13.2	239.3	0.136	34
13.2	239.3	0.136	34
13.2	239.1	0.136	34
13.2	239.4	0.137	34
13.1	239.5	0.136	33
13.1	239.5	0.136	33
13.2	239.6	0.136	34
13.2	239.4	0.136	34
13.2	239.6	0.136	34
13.2	239.6	0.136	34
13.2	239.5	0.136	34
13.1	239.5	0.137	33
13.2	239.6	0.136	34
13.1	239.7	0.137	33
13.2	239.6	0.136	34
13.2	239.4	0.136	34
13.2	239.3	0.136	34
13.2	239.4	0.136	34
